feature,n_pairs,mean_norm_imp,median_norm_imp,max_norm_imp
%-price_position_gen_{BTC_INF}_1h,37,0.0019641001415917425,0.0012587506061121168,0.008207776999109632
%-adx-period_20_shift-2_{BTC_INF}_1h,37,0.00196409742945455,0.0009372357582159183,0.0117192443805008
%-roc-period_50_{TF_15m},36,0.001957972322937487,0.0011010934544830446,0.010059405214581063
%-macd_hist_gen_shift-1_{BTC_INF}_4h,37,0.0019328838700812343,0.001227894548516848,0.009092820850440124
%-day_of_week,37,0.0019320386676881843,0.0010557406531109246,0.01630396705397648
%-bb_pct-period_50_{TF_15m},36,0.0019306403189762952,0.0019450531063776283,0.003395683581589552
%-bb_width-period_50_shift-2_{BTC_INF}_15m,37,0.0019116505749414267,0.0013100983434003453,0.012663325084715701
%-bb_width-period_50_shift-2_{BTC_INF}_4h,37,0.001881080263370081,0.0013188384255924852,0.00899248891220808
%-bb_width-period_50_shift-2_{BTC_INF}_1h,37,0.0018785329373118811,0.0011860719845808278,0.007220492773672569
%-bb_width-period_10_shift-2_{BTC_INF}_4h,37,0.0018722983572294221,0.0012550087862260634,0.00807497138964624
%-atr_gen_{TF_1h},36,0.0018701725305367537,0.001436447217913155,0.010936865742399559
%-relative_volume-period_20_{TF_4h},36,0.0018685978410426093,0.0012586847120872866,0.009295320871406009
%-macd_gen_{TF_15m},36,0.0018527038218283437,0.001635924975207652,0.007083132773506428
%-roc-period_10_{TF_4h},36,0.0018431784433532157,0.0010688503698298294,0.008295125504770936
%-macd_signal_gen_shift-2_{TF_4h},36,0.0018377688267239125,0.0015449640762071832,0.005928636172532396
%-sma-period_50_shift-2_{TF_1h},36,0.0018358257906163251,0.0007847005529201726,0.016313783286341657
%-roc-period_20_shift-1_{BTC_INF}_4h,37,0.0018283468743638203,0.0012201156123531922,0.016391633739526554
%-ema-period_10_{TF_1h},36,0.0018241335991881606,0.0008546989369744915,0.013542133756829632
%-price_position_gen_shift-2_{BTC_INF}_4h,37,0.0018175736062040542,0.001060879140485086,0.007863829858044413
%-macd_gen_shift-2_{BTC_INF}_1h,37,0.0018062438797208085,0.0007049718080759773,0.015280480805129669
%-macd_signal_gen_shift-1_{TF_1h},36,0.0017784955346129621,0.0010666284370255896,0.021247314751469838
%-roc-period_20_{TF_15m},36,0.0017765772550436157,0.0014022177167451332,0.005273446501703296
%-adx-period_20_shift-1_{TF_1h},36,0.00177575274815286,0.0015221858808283687,0.005643989195938479
%-bb_pct-period_50_{BTC_INF}_15m,37,0.001768002501492507,0.0011407700503612832,0.006614415074660032
%-ema-period_10_shift-1_{TF_1h},36,0.0017677112595473209,8.074666832017866e-05,0.050092762125152644
%-rsi-period_50_shift-2_{BTC_INF}_4h,37,0.0017645245441347429,0.0010172409813679186,0.008632205907440934
%-price_position_gen_shift-1_{TF_4h},36,0.0017587471597490442,0.0013576944223239649,0.008307880031158862
%-sma-period_50_shift-1_{TF_4h},36,0.0017579147247076003,0.0007903146001236404,0.025469431001704474
%-sma-period_50_shift-2_{BTC_INF}_15m,37,0.0017559784444567226,0.0003219889362438454,0.030333370046834535
%-rsi-period_50_shift-1_{TF_4h},36,0.0017403014482140896,0.0011953498007642748,0.006068048549671318
%-macd_signal_gen_{TF_1h},36,0.0017278574268618921,0.0012038955505993551,0.007944073025214507
%-bb_width-period_10_shift-1_{BTC_INF}_1h,37,0.0017258364774052812,0.001107491485984764,0.009388394571793352
%-relative_volume-period_50_{BTC_INF}_4h,37,0.00170654790563512,0.0016098922974085237,0.005734730901627018
%-macd_signal_gen_{TF_4h},36,0.0016859729117471628,0.0013391557007899478,0.008225887813245923
%-bb_pct-period_20_shift-2_{TF_4h},36,0.0016835860247663478,0.0012429626025256624,0.009642475055546617
%-sma-period_50_{BTC_INF}_15m,37,0.0016803557711642996,0.0002921501686950624,0.01917430100981707
%-sma-period_20_{BTC_INF}_4h,37,0.0016634533987335655,0.0014204890346326696,0.005248487907349807
%-bb_width-period_20_shift-2_{BTC_INF}_1h,37,0.0016604252615231296,0.000752658648049705,0.01157905915801007
%-sma-period_20_{BTC_INF}_1h,37,0.0016583311200277537,0.0007606963298655899,0.014595982174471278
%-atr_gen_shift-2_{TF_1h},36,0.0016460036915481825,0.0011018529593937235,0.006149023255211728
%-ema-period_20_shift-1_{TF_4h},36,0.0016419890798669455,0.00040641838807659096,0.01637439113038322
%-bb_width-period_20_shift-1_{BTC_INF}_1h,37,0.0016316426714831302,0.0008407648876720551,0.015097977226731417
%-adx-period_10_shift-1_{TF_1h},36,0.0016258639722350142,0.0011288468177388091,0.005804871709501905
%-bb_width-period_50_shift-2_{TF_15m},36,0.001624883923459053,0.0015701302184777625,0.005391120461875282
%-sma-period_20_shift-2_{TF_4h},36,0.001620779605150813,0.0008187391053204708,0.015352398081006885
%-bb_pct-period_20_{BTC_INF}_4h,37,0.0016099301571745642,0.0010414195298402483,0.011849465439234394
%-macd_gen_shift-2_{TF_1h},36,0.001609541343424328,0.0007930373441054644,0.023710678437633904
%-adx-period_20_shift-1_{BTC_INF}_1h,37,0.0015923891170790602,0.0012287093571620544,0.00621948117437356
%-rsi-period_20_{BTC_INF}_4h,37,0.001581558801029212,0.0010932738378086528,0.005847399332381413
%-macd_gen_shift-1_{TF_1h},36,0.0015799036282053108,0.0007269507876707234,0.018587044738373016
%-roc-period_50_shift-1_{TF_4h},36,0.0015758677625068865,0.0009115201621758017,0.00838349258575154
%-macd_gen_shift-2_{BTC_INF}_4h,37,0.0015743199240772767,0.0006107894655651124,0.013689627801822538
%-macd_signal_gen_shift-1_{BTC_INF}_1h,37,0.0015546721281704866,0.0007019733115368475,0.008971918927126087
%-macd_gen_shift-2_{TF_4h},36,0.001525461904444777,0.0005332666814903519,0.014750074515978706
%-rsi-period_20_shift-2_{BTC_INF}_4h,37,0.0015179296664761899,0.0006836162146330697,0.016866869587687055
%-macd_gen_{BTC_INF}_4h,37,0.0014953009017914303,0.0015243028067254065,0.0037037631285172243
%-ema-period_50_shift-2_{TF_4h},36,0.0014941579970884817,0.0008967423997325477,0.0074555848824253935
%-ema-period_50_{BTC_INF}_1h,37,0.0014881356090564698,0.0005906639648934629,0.025536430485000663
%-sma-period_50_{TF_1h},36,0.001485184566774267,0.001034757803839638,0.008585935957851152
%-atr_gen_{TF_15m},36,0.001482249218427113,0.0010369860483234463,0.007760978074747826
%-ema-period_50_{BTC_INF}_15m,37,0.0014818574189437565,0.0003873572756355426,0.01855006284188473
%-macd_hist_gen_shift-2_{BTC_INF}_1h,37,0.0014788585678812821,0.0009953728302215666,0.00743635374194507
%-ema-period_20_shift-1_{BTC_INF}_1h,37,0.0014407465310800887,0.0001805528639859059,0.009968185641313711
%-sma-period_50_shift-2_{TF_15m},36,0.0014280838939747249,0.0006413101211158575,0.016042243319919065
%-ema-period_20_{TF_1h},36,0.0014121906392359784,0.0009526772053769435,0.009108520245293553
%-bb_pct-period_20_shift-1_{BTC_INF}_4h,37,0.001399752905403553,0.001138558414232725,0.006865980424631328
%-sma-period_50_{TF_15m},36,0.0013997090957226796,0.0006398418334498783,0.020229387386581386
